DATE,VOL,PRICE,WOP,,
2015M09,87118.00,167815055.00,3.22,,
2015M10,88013.00,169155867.00,3.38,,
2015M11,103061.00,193271599.00,3.26,,
2015M12,151773.00,276227592.00,3.28,,
2016M01,176641.00,306143796.00,3.20,,
2016M02,117691.00,197184637.00,3.26,,
2016M03,179946.00,303008787.00,3.47,,
2016M04,187987.00,318351096.00,3.40,,
2016M05,161002.00,286115698.00,3.42,,
2016M06,15805.00,291789761.00,3.65,,
2016M07,139311.00,263500379.00,3.79,,
2016M08,151575.00,292006868.00,3.69,,
2016M09,128839.00,255485434.00,3.89,,
2016M10,117037.00,243722073.00,3.95,,
2016M11,114578.00,248322028.00,4.06,,
2016M12,14767.00,328618812.00,3.57,,
2017M01,184917.00,410455012.00,3.72,,
2017M02,16788.00,377679231.00,3.67,,
2017M03,18601.00,420978874.00,3.53,,
2017M04,1436.00,324899949.00,3.43,,
2017M05,127689.00,287072186.00,3.31,,
2017M06,121666.00,275240449.00,3.16,,
2017M07,104135.00,242700692.00,3.30,,
2017M08,96124.00,224953653.00,3.30,,
2017M09,79948.00,186419987.00,3.23,,
2017M10,163937.00,326571931.00,3.10,,
2017M11,104724.00,225107334.00,3.11,,
2017M12,79262.00,185105838.00,3.03,,
2018M01,216387.00,419699558.00,3.06,,
2018M02,136476.00,264113605.00,3.00,,
2018M03,210525.00,405216119.00,2.98,,
2018M04,163569.00,312144796.00,2.96,,
2018M05,155322.00,304598168.00,2.99,,
2018M06,155861.00,296725255.00,2.95,,
2018M07,134612.00,253126274.00,2.88,,
2018M08,153095.00,281836042.00,2.76,,
2018M09,120642.00,212042813.00,2.67,,
2018M10,138111.00,251154853.00,3.03,,
2018M11,13931.00,260135829.00,3.02,,
2018M12,153459.00,275678998.00,2.80,,
2019M01,201642.00,351583038.00,2.83,,
2019M02,114418.00,198835187.00,2.83,,
2019M03,171827.00,297410831.00,2.73,,
2019M04,143641.00,242720657.00,2.67,,
2019M05,145093.00,238019578.00,2.66,,
2019M06,144275.00,241597394.00,2.86,,
2019M07,141282.00,242877251.00,2.99,,
2019M08,11412.00,197031900.00,2.78,,
2019M09,92305.00,168410534.00,2.84,,
2019M10,89107.00,160915115.00,2.80,,
2019M11,112075.00,196120467.00,3.11,,
2019M12,187783.00,326779053.00,3.46,,
2020M01,145469.00,248109696.00,3.13,,
2020M02,186538.00,312541182.00,2.99,,
2020M03,183698.00,308920509.00,3.27,,
2020M04,167058.00,281599602.00,3.41,,
2020M05,130136.00,220334401.00,3.30,,
2020M06,127674.00,217634977.00,3.12,,
2020M07,110025.00,195443508.00,3.24,,
2020M08,100152.00,184280573.00,3.60,,
2020M09,9973.00,188039477.00,3.67,,
2020M10,92016.00,169778844.00,3.35,,
2020M11,83738.00,161132364.00,3.32,,
2020M12,139046.00,253232959.00,3.48,,
2021M01,160503.00,280554202.00,3.54,,
2021M02,123045.00,216836060.00,3.67,,
2021M03,16961.00,312094819.00,3.68,,
2021M04,132146.00,246696592.00,3.72,,
2021M05,130287.00,243590551.00,4.11,,
2021M06,127999.00,248577029.00,4.24,,
2021M07,122293.00,235053036.00,4.50,,
2021M08,111697.00,224749437.00,4.77,,
2021M09,10034.00,210017893.00,4.97,,
